1;PERANCANGAN APLIKASI WATERMARKING KEPEMILIKAN CITRA MENGGUNAKAN KOMBINASI METODE SHA DAN LEAST SIGNIFICANT BIT (LSB);Keamanan Komputer dan Informasi;2;1
2;APLIKASI SISTEM PAKAR MENDIAGNOSA PENYAKIT TUBERKULOSIS MENGGUNAKAN METODE CERTAINTY FACTOR BERBASIS ANDROID;Artificial Intelligence;2;1
3;PERANCANGAN SISTEM INFORMASI PEMBERIAN BANTUAN TERNAK BERBASIS WEB PADA DINAS PETERNAKAN DAN KESEHATAN HEWAN PRO. SULSEL;Sistem Terdistribusi (Web Service);3;1
4;PERANCANGAN APLIKASI PERKIRAAN PAJAK KENDARAAN BERMOTOR, KREDIT DAN HARGA JUAL KEMBALI MENGGUNAKAN METODE ARIMA;Intelligent System and Control/IoT;2;1
5;IMPLEMENTASI ALGORITMA C4.5 UNTUK PEMILIHAN PERGURUAN TINGGI DIMAKASSAR;Data Mining;1;1
6;ANALISIS PERANCANGAN APLIKASI REAL TIME OBJECT DETECTION ANDROID MENGGUNAKAN TENSORFLOW;Artificial Intelligence;2;1
7;PERANCANGAN SISTEM INFORMASI PENEBUSAN RESEP OBAT PADA RUMAH SAKIT KE APOTEK BERBASIS WEB;Sistem Terdistribusi (Web Service);1;1
8;IMPLEMENTASI EARLY WARNING SYSTEM UNTUK MONITORING JARINGAN MENGGUNAKAN NOTIFIKASI TELEGRAM;Perancangan dan Optimasi Jaringan Komputer;2;1
9;PERANCANGAN APLIKASI ANALISIS LOYALITAS PELANGGAN PT PLN (PERSERO) ULP MAROS DENGAN METODE K-MEANS CLUSTERING BERBASIS PWA;Artificial Intelligence;2;1
10;IMPLEMENTASI KOMBINASI ALGORITMA HILL CIPHER DAN CIPHER BLOCK CHAINING DALAM PENGAMANAN TEKS PADA FILE MICROSOFT WORD (.DOC);Keamanan Komputer dan Informasi;2;1
11;PERANCANGAN APLIKASI PENTERJEMAH BAHASA MAKASSAR KE BAHASA INDONESIA DISERTAI BENTUK AKSARA LONTARA MENGGUNAKAN METODE BSu BERBASIS WEB;Artificial Intelligence;2;1
